# polar simulation results
# x_axis=snr_db
# x_label=Eb/N0 (dB)
# fer_column=fer
# target_frame_errors=50
# max_frames_per_point=5000
snr_db	encoding_scheme	channel	frames	frame_errors	bit_errors	total_bits	fer	ber
0	polar	AWGN	50	50	12102	25600	1.000000000000e+00	4.727343750000e-01
1	polar	AWGN	61	50	10117	31232	8.196721311475e-01	3.239305840164e-01
2	polar	AWGN	406	50	6867	207872	1.231527093596e-01	3.303475215517e-02
3	polar	AWGN	5000	16	1276	2560000	3.200000000000e-03	4.984375000000e-04
4	polar	AWGN	5000	0	0	2560000	1.000000000000e-05	0.000000000000e+00
0	polar	Rayleigh	50	50	12639	25600	1.000000000000e+00	4.937109375000e-01
1	polar	Rayleigh	50	50	12273	25600	1.000000000000e+00	4.794140625000e-01
2	polar	Rayleigh	50	50	11986	25600	1.000000000000e+00	4.682031250000e-01
3	polar	Rayleigh	68	50	10740	34816	7.352941176471e-01	3.084788602941e-01
4	polar	Rayleigh	176	50	9199	90112	2.840909090909e-01	1.020840731534e-01

# ldpc simulation results
# x_axis=snr_db
# x_label=Eb/N0 (dB)
# fer_column=fer
# target_frame_errors=50
# max_frames_per_point=5000
snr_db	encoding_scheme	channel	frames	frame_errors	bit_errors	total_bits	fer	ber
0	ldpc	AWGN	55	50	576	3520	9.090909090909e-01	1.636363636364e-01
1	ldpc	AWGN	72	50	502	4608	6.944444444444e-01	1.089409722222e-01
2	ldpc	AWGN	144	50	431	9216	3.472222222222e-01	4.676649305556e-02
3	ldpc	AWGN	723	50	354	46272	6.915629322268e-02	7.650414937759e-03
4	ldpc	AWGN	5000	10	61	320000	2.000000000000e-03	1.906250000000e-04
0	ldpc	Rayleigh	50	50	727	3200	1.000000000000e+00	2.271875000000e-01
1	ldpc	Rayleigh	51	50	636	3264	9.803921568627e-01	1.948529411765e-01
2	ldpc	Rayleigh	54	50	559	3456	9.259259259259e-01	1.617476851852e-01
3	ldpc	Rayleigh	63	50	492	4032	7.936507936508e-01	1.220238095238e-01
4	ldpc	Rayleigh	108	50	468	6912	4.629629629630e-01	6.770833333333e-02
