# ldpc_fer_awgn_jamming simulation results
# sweep_label=Eb/N0
# x_label=Eb/N0 (dB)
# log_x_axis=0
# fer_column=fer
# target_frame_errors=200
# max_frames=1000000
# max_iter=50
# seed=7
sweep_value	noise_variance	channel	jnr_db	frames	frame_errors	fer
1	7.943282347243e-01	AWGN	nan	269	200	7.434944237918e-01
2	6.309573444802e-01	AWGN	nan	547	200	3.656307129799e-01
3	5.011872336273e-01	AWGN	nan	3051	200	6.555227794166e-02
4	3.981071705535e-01	AWGN	nan	70457	200	2.838610783882e-03
1	7.943282347243e-01	JNR	-9	227	200	8.810572687225e-01
2	6.309573444802e-01	JNR	-9	390	200	5.128205128205e-01
3	5.011872336273e-01	JNR	-9	1064	200	1.879699248120e-01
4	3.981071705535e-01	JNR	-9	12456	200	1.605651894669e-02
1	7.943282347243e-01	JNR	-6	210	200	9.523809523810e-01
2	6.309573444802e-01	JNR	-6	287	200	6.968641114983e-01
3	5.011872336273e-01	JNR	-6	637	200	3.139717425432e-01
4	3.981071705535e-01	JNR	-6	3128	200	6.393861892583e-02
1	7.943282347243e-01	JNR	-3	202	200	9.900990099010e-01
2	6.309573444802e-01	JNR	-3	215	200	9.302325581395e-01
3	5.011872336273e-01	JNR	-3	295	200	6.779661016949e-01
4	3.981071705535e-01	JNR	-3	735	200	2.721088435374e-01
1	7.943282347243e-01	JNR	0	200	200	1.000000000000e+00
2	6.309573444802e-01	JNR	0	204	200	9.803921568627e-01
3	5.011872336273e-01	JNR	0	211	200	9.478672985782e-01
4	3.981071705535e-01	JNR	0	266	200	7.518796992481e-01
1	7.943282347243e-01	JNR	3	200	200	1.000000000000e+00
2	6.309573444802e-01	JNR	3	200	200	1.000000000000e+00
3	5.011872336273e-01	JNR	3	200	200	1.000000000000e+00
4	3.981071705535e-01	JNR	3	203	200	9.852216748768e-01
