# polar simulation results
# x_axis=snr_db
# x_label=Eb/N0 (dB)
# fer_column=fer
# n=1024
# k=512
# target_frame_errors=200
# max_frames_per_point=100000
snr_db	channel	jnr_db	frames	frame_errors	bit_errors	total_bits	fer	ber
1	AWGN	nan	243	200	37102	124416	8.230452674897e-01	2.982092335391e-01
2	AWGN	nan	1567	200	29184	802304	1.276324186343e-01	3.637523931078e-02
3	AWGN	nan	96305	200	15940	49308160	2.076735371995e-03	3.232730647422e-04
4	AWGN	nan	100000	1	8	51200000	1.000000000000e-05	1.562500000000e-07
1	JNR	-9	211	200	44782	108032	9.478672985782e-01	4.145253258294e-01
2	JNR	-9	486	200	31789	248832	4.115226337449e-01	1.277528613683e-01
3	JNR	-9	9589	200	19556	4909568	2.085723224528e-02	3.983242517468e-03
4	JNR	-9	100000	24	1201	51200000	2.400000000000e-04	2.345703125000e-05
1	JNR	-6	200	200	47864	102400	1.000000000000e+00	4.674218750000e-01
2	JNR	-6	252	200	37594	129024	7.936507936508e-01	2.913721478175e-01
3	JNR	-6	2038	200	27308	1043456	9.813542688911e-02	2.617072497547e-02
4	JNR	-6	100000	181	12449	51200000	1.810000000000e-03	2.431445312500e-04
1	JNR	-3	200	200	50195	102400	1.000000000000e+00	4.901855468750e-01
2	JNR	-3	200	200	47527	102400	1.000000000000e+00	4.641308593750e-01
3	JNR	-3	337	200	35195	172544	5.934718100890e-01	2.039769566024e-01
4	JNR	-3	3966	200	24669	2030592	5.042864346949e-02	1.214867388427e-02
1	JNR	0	200	200	50826	102400	1.000000000000e+00	4.963476562500e-01
2	JNR	0	200	200	50210	102400	1.000000000000e+00	4.903320312500e-01
3	JNR	0	200	200	47988	102400	1.000000000000e+00	4.686328125000e-01
4	JNR	0	253	200	37521	129536	7.905138339921e-01	2.896569293478e-01
1	JNR	3	200	200	51047	102400	1.000000000000e+00	4.985058593750e-01
2	JNR	3	200	200	50977	102400	1.000000000000e+00	4.978222656250e-01
3	JNR	3	200	200	50687	102400	1.000000000000e+00	4.949902343750e-01
4	JNR	3	200	200	49813	102400	1.000000000000e+00	4.864550781250e-01
