# sdrcodepolar SDR sweep results
# x_axis=tx_gain_dB
# fer_column=ldpc_fer
# ber_column=raw_ber
tx_gain_dB	channel	jnr_db	frames	ldpc_blocks	invalid	attempts	ldpc_errors	ldpc_fer	raw_ber	raw_bits	header_fail_rate	nonconv_rate	avg_iters	done
-46	AWGN	nan	69	69	6	75	50	7.246376811594e-01	1.733469202899e-01	8832	0.000000000000e+00	7.246376811594e-01	38.7246376812	True
-46	JNR	-9	59	59	6	75	50	8.474576271186e-01	1.893538135593e-01	7552	0.000000000000e+00	8.474576271186e-01	43.7627118644	True
-46	JNR	-3	51	51	6	75	50	9.803921568627e-01	2.305453431373e-01	6528	0.000000000000e+00	9.803921568627e-01	49.1176470588	True
-46	JNR	3	50	50	6	75	50	1.000000000000e+00	3.035937500000e-01	6400	0.000000000000e+00	1.000000000000e+00	50	True
-44	AWGN	nan	163	163	3	166	50	3.067484662577e-01	1.458013803681e-01	20864	0.000000000000e+00	3.067484662577e-01	18.5398773006	True
-44	JNR	-9	135	135	3	166	50	3.703703703704e-01	1.531250000000e-01	17280	0.000000000000e+00	3.703703703704e-01	21.8518518519	True
-44	JNR	-3	77	77	3	166	50	6.493506493506e-01	1.820211038961e-01	9856	0.000000000000e+00	6.493506493506e-01	35.3766233766	True
-44	JNR	3	50	50	3	166	50	1.000000000000e+00	2.604687500000e-01	6400	0.000000000000e+00	1.000000000000e+00	50	True
-42	AWGN	nan	288	288	4	292	50	1.736111111111e-01	1.132269965278e-01	36864	0.000000000000e+00	1.736111111111e-01	10.0729166667	True
-42	JNR	-9	282	282	4	292	50	1.773049645390e-01	1.217309397163e-01	36096	0.000000000000e+00	1.773049645390e-01	10.8262411348	True
-42	JNR	-3	176	176	4	292	50	2.840909090909e-01	1.526100852273e-01	22528	0.000000000000e+00	2.840909090909e-01	16.2897727273	True
-42	JNR	3	58	58	4	292	50	8.620689655172e-01	2.184806034483e-01	7424	0.000000000000e+00	8.620689655172e-01	44.724137931	True
-40	AWGN	nan	534	534	11	545	50	9.363295880150e-02	6.166608146067e-02	68352	0.000000000000e+00	9.363295880150e-02	5.7265917603	True
-40	JNR	-9	528	528	11	545	50	9.469696969697e-02	6.739760890152e-02	67584	0.000000000000e+00	9.469696969697e-02	5.88636363636	True
-40	JNR	-3	526	526	11	545	50	9.505703422053e-02	8.189757604563e-02	67328	0.000000000000e+00	9.505703422053e-02	6.67870722433	True
-40	JNR	3	161	161	11	545	50	3.105590062112e-01	1.177212732919e-01	20608	0.000000000000e+00	3.105590062112e-01	19.5093167702	True
-38	AWGN	nan	1308	1308	33	1341	50	3.822629969419e-02	2.599985665138e-02	167424	0.000000000000e+00	3.822629969419e-02	2.89525993884	True
-38	JNR	-9	1308	1308	33	1341	50	3.822629969419e-02	2.859207759939e-02	167424	0.000000000000e+00	3.822629969419e-02	2.9250764526	True
-38	JNR	-3	1232	1232	33	1341	50	4.058441558442e-02	4.174487621753e-02	157696	0.000000000000e+00	4.058441558442e-02	3.23133116883	True
-38	JNR	3	389	389	33	1341	50	1.285347043702e-01	8.352747429306e-02	49792	0.000000000000e+00	1.285347043702e-01	9.48329048843	True
